source_id,region,table_id,table_label,short_name,applies_to,parameter_modules,raw_series,series_group,series_name,year,value,unit,cached_file
nrcan_ceud_transport_provincial,ON,7,Off-Road,off_road_fuel_use,off_road,stocks_and_demands,Energy Use by Transportation Mode (PJ)|Heavy Trucks,Energy Use by Transportation Mode (PJ),Heavy Trucks,2003,134.942958,PJ,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\nrcan_ceud_transport\2021_tran_on_e_7.xls
nrcan_ceud_transport_provincial,ON,7,Off-Road,off_road_fuel_use,off_road,stocks_and_demands,Energy Use by Transportation Mode (PJ)|Motorcycles,Energy Use by Transportation Mode (PJ),Motorcycles,2003,0.990303,PJ,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\nrcan_ceud_transport\2021_tran_on_e_7.xls
nrcan_ceud_transport_provincial,ON,7,Off-Road,off_road_fuel_use,off_road,stocks_and_demands,Energy Use by Transportation Mode (PJ)|School Buses,Energy Use by Transportation Mode (PJ),School Buses,2003,4.704545,PJ,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\nrcan_ceud_transport\2021_tran_on_e_7.xls
nrcan_ceud_transport_provincial,ON,7,Off-Road,off_road_fuel_use,off_road,stocks_and_demands,Energy Use by Transportation Mode (PJ)|Urban Transit,Energy Use by Transportation Mode (PJ),Urban Transit,2003,10.71255,PJ,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\nrcan_ceud_transport\2021_tran_on_e_7.xls
nrcan_ceud_transport_provincial,ON,7,Off-Road,off_road_fuel_use,off_road,stocks_and_demands,Energy Use by Transportation Mode (PJ)|Inter-City Buses,Energy Use by Transportation Mode (PJ),Inter-City Buses,2003,2.242375,PJ,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\nrcan_ceud_transport\2021_tran_on_e_7.xls
nrcan_ceud_transport_provincial,ON,7,Off-Road,off_road_fuel_use,off_road,stocks_and_demands,Energy Use by Transportation Mode (PJ)|Passenger Air,Energy Use by Transportation Mode (PJ),Passenger Air,2003,50.504355,PJ,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\nrcan_ceud_transport\2021_tran_on_e_7.xls
nrcan_ceud_transport_provincial,ON,7,Off-Road,off_road_fuel_use,off_road,stocks_and_demands,Energy Use by Transportation Mode (PJ)|Freight Air,Energy Use by Transportation Mode (PJ),Freight Air,2003,1.695645,PJ,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\nrcan_ceud_transport\2021_tran_on_e_7.xls
nrcan_ceud_transport_provincial,ON,7,Off-Road,off_road_fuel_use,off_road,stocks_and_demands,Energy Use by Transportation Mode (PJ)|Passenger Rail,Energy Use by Transportation Mode (PJ),Passenger Rail,2003,0.556139,PJ,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\nrcan_ceud_transport\2021_tran_on_e_7.xls
nrcan_ceud_transport_provincial,ON,7,Off-Road,off_road_fuel_use,off_road,stocks_and_demands,Energy Use by Transportation Mode (PJ)|Freight Rail,Energy Use by Transportation Mode (PJ),Freight Rail,2003,15.856861,PJ,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\nrcan_ceud_transport\2021_tran_on_e_7.xls
nrcan_ceud_transport_provincial,ON,7,Off-Road,off_road_fuel_use,off_road,stocks_and_demands,Energy Use by Transportation Mode (PJ)|Marine,Energy Use by Transportation Mode (PJ),Marine,2003,15.049,PJ,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\nrcan_ceud_transport\2021_tran_on_e_7.xls
nrcan_ceud_transport_provincial,ON,7,Off-Road,off_road_fuel_use,off_road,stocks_and_demands,Energy Use by Transportation Mode (PJ)|Off-Road1,Energy Use by Transportation Mode (PJ),Off-Road1,2003,35.7,PJ,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\nrcan_ceud_transport\2021_tran_on_e_7.xls
nrcan_ceud_transport_provincial,ON,7,Off-Road,off_road_fuel_use,off_road,stocks_and_demands,Total Energy Use (PJ),Total Energy Use (PJ),Total Energy Use (PJ),2004,828.868,PJ,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\nrcan_ceud_transport\2021_tran_on_e_7.xls
nrcan_ceud_transport_provincial,ON,7,Off-Road,off_road_fuel_use,off_road,stocks_and_demands,Total Energy Use (PJ)|Passenger Transportation,Total Energy Use (PJ),Passenger Transportation,2004,498.561213,PJ,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\nrcan_ceud_transport\2021_tran_on_e_7.xls
nrcan_ceud_transport_provincial,ON,7,Off-Road,off_road_fuel_use,off_road,stocks_and_demands,Total Energy Use (PJ)|Freight Transportation,Total Energy Use (PJ),Freight Transportation,2004,293.966787,PJ,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\nrcan_ceud_transport\2021_tran_on_e_7.xls
nrcan_ceud_transport_provincial,ON,7,Off-Road,off_road_fuel_use,off_road,stocks_and_demands,Total Energy Use (PJ)|Off-Road1,Total Energy Use (PJ),Off-Road1,2004,36.34,PJ,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\nrcan_ceud_transport\2021_tran_on_e_7.xls
