id,region,year,policy,swb,ccs,hyd,oil,dac,lul,value,fuel_name
138495,on,2020,netzero,ref,high,ref,ref,no,low,516.6050993,electricity
138558,on,2020,netzero,low,high,ref,ref,no,low,516.6922652,electricity
138621,on,2020,netzero,high,high,ref,ref,no,low,516.5500893,electricity
138684,on,2020,netzero,ref,high,low,ref,no,low,516.6050993,electricity
138747,on,2020,netzero,low,ref,low,ref,no,low,516.6951154,electricity
138810,on,2020,netzero,low,high,low,ref,no,low,516.6922652,electricity
138873,on,2020,netzero,high,high,low,ref,no,low,516.5464821,electricity
138936,on,2020,netzero,ref,high,high,ref,no,low,516.6050993,electricity
138999,on,2020,netzero,low,high,high,ref,no,low,516.6922652,electricity
139062,on,2020,netzero,high,high,high,ref,no,low,516.5500893,electricity
139125,on,2020,netzero,ref,high,ref,ref,yes,low,516.6050993,electricity
139188,on,2020,netzero,low,high,ref,ref,yes,low,516.6922652,electricity
139251,on,2020,netzero,high,high,ref,ref,yes,low,516.5500893,electricity
139314,on,2020,netzero,ref,high,low,ref,yes,low,516.6050993,electricity
139377,on,2020,netzero,low,high,low,ref,yes,low,516.6922652,electricity
139440,on,2020,netzero,high,ref,low,ref,no,low,516.5531385,electricity
139503,on,2020,netzero,high,high,low,ref,yes,low,516.5500893,electricity
139566,on,2020,netzero,ref,high,high,ref,yes,low,516.6050993,electricity
139629,on,2020,netzero,low,high,high,ref,yes,low,516.6922652,electricity
139692,on,2020,netzero,high,high,high,ref,yes,low,516.5500893,electricity
139755,on,2020,netzero,ref,ref,ref,low,no,low,516.6085162,electricity
139818,on,2020,netzero,low,ref,ref,low,no,low,516.6951154,electricity
139881,on,2020,netzero,high,ref,ref,low,no,low,516.5531385,electricity
139944,on,2020,netzero,ref,ref,low,low,no,low,516.6085162,electricity
140007,on,2020,netzero,low,ref,low,low,no,low,516.6951154,electricity
140070,on,2020,netzero,high,ref,low,low,no,low,516.5531385,electricity
140133,on,2020,netzero,ref,ref,high,ref,no,low,516.6085162,electricity
140196,on,2020,netzero,ref,ref,high,low,no,low,516.6085162,electricity
140259,on,2020,netzero,low,ref,high,low,no,low,516.6951154,electricity
