id,region,year,policy,swb,ccs,hyd,oil,dac,lul,value,fuel_type,fuel_phase
39144,on,2020,netzero,low,high,low,low,no,high,0.0,biofuel,gas
39172,on,2020,netzero,high,high,low,low,no,high,0.0,biofuel,gas
39200,on,2020,netzero,ref,high,high,low,no,high,0.0,biofuel,gas
39228,on,2020,netzero,low,high,high,low,no,high,0.0,biofuel,gas
39256,on,2020,netzero,high,high,high,low,no,high,0.0,biofuel,gas
39284,on,2020,netzero,ref,high,ref,low,yes,high,0.0,biofuel,gas
60480,on,2020,netzero,ref,ref,ref,ref,no,low,0.0,biofuel,gas
60508,on,2020,netzero,low,ref,ref,ref,no,low,0.0,biofuel,gas
60536,on,2020,netzero,low,ref,ref,ref,yes,low,0.0,biofuel,gas
60564,on,2020,netzero,low,high,ref,low,yes,low,0.0,biofuel,gas
60592,on,2020,netzero,high,high,ref,low,yes,low,0.0,biofuel,gas
60620,on,2020,netzero,ref,high,low,low,yes,low,0.0,biofuel,gas
60648,on,2020,netzero,low,high,low,low,yes,low,0.0,biofuel,gas
60676,on,2020,netzero,high,high,low,low,yes,low,0.0,biofuel,gas
60704,on,2020,netzero,ref,high,high,low,yes,low,0.0,biofuel,gas
60732,on,2020,netzero,low,high,high,low,yes,low,0.0,biofuel,gas
60760,on,2020,netzero,high,high,high,low,yes,low,0.0,biofuel,gas
60788,on,2020,netzero,high,ref,ref,ref,yes,low,0.0,biofuel,gas
60816,on,2020,netzero,ref,ref,low,ref,yes,low,0.0,biofuel,gas
60844,on,2020,netzero,low,ref,low,ref,yes,low,0.0,biofuel,gas
60872,on,2020,netzero,high,ref,low,ref,yes,low,0.0,biofuel,gas
60900,on,2020,netzero,ref,ref,high,ref,yes,low,0.0,biofuel,gas
60928,on,2020,netzero,low,ref,high,ref,yes,low,0.0,biofuel,gas
60956,on,2020,netzero,high,ref,high,ref,yes,low,0.0,biofuel,gas
60984,on,2020,netzero,ref,low,ref,ref,no,low,0.0,biofuel,gas
61012,on,2020,netzero,low,low,ref,ref,no,low,0.0,biofuel,gas
61040,on,2020,netzero,high,ref,ref,ref,no,low,0.0,biofuel,gas
61068,on,2020,netzero,high,low,ref,ref,no,low,0.0,biofuel,gas
61096,on,2020,netzero,ref,low,low,ref,no,low,0.0,biofuel,gas
61124,on,2020,netzero,low,low,low,ref,no,low,0.0,biofuel,gas
61152,on,2020,netzero,high,low,low,ref,no,low,0.0,biofuel,gas
61180,on,2020,netzero,ref,low,high,ref,no,low,0.0,biofuel,gas
61208,on,2020,netzero,low,low,high,ref,no,low,0.0,biofuel,gas
61236,on,2020,netzero,high,low,high,ref,no,low,0.0,biofuel,gas
61264,on,2020,netzero,ref,low,ref,ref,yes,low,0.0,biofuel,gas
61292,on,2020,netzero,low,low,ref,ref,yes,low,0.0,biofuel,gas
61320,on,2020,netzero,high,low,ref,ref,yes,low,0.0,biofuel,gas
61348,on,2020,netzero,ref,ref,low,ref,no,low,0.0,biofuel,gas
61376,on,2020,netzero,ref,low,low,ref,yes,low,0.0,biofuel,gas
61404,on,2020,netzero,low,low,low,ref,yes,low,0.0,biofuel,gas
61432,on,2020,netzero,high,low,low,ref,yes,low,0.0,biofuel,gas
61460,on,2020,netzero,ref,low,high,ref,yes,low,0.0,biofuel,gas
61488,on,2020,netzero,low,low,high,ref,yes,low,0.0,biofuel,gas
61516,on,2020,netzero,high,low,high,ref,yes,low,0.0,biofuel,gas
61544,on,2020,netzero,ref,high,ref,ref,no,low,0.0,biofuel,gas
61572,on,2020,netzero,low,high,ref,ref,no,low,0.0,biofuel,gas
61600,on,2020,netzero,high,high,ref,ref,no,low,0.0,biofuel,gas
61628,on,2020,netzero,ref,high,low,ref,no,low,0.0,biofuel,gas
61656,on,2020,netzero,low,ref,low,ref,no,low,0.0,biofuel,gas
61684,on,2020,netzero,low,high,low,ref,no,low,0.0,biofuel,gas
61712,on,2020,netzero,high,high,low,ref,no,low,0.0,biofuel,gas
61740,on,2020,netzero,ref,high,high,ref,no,low,0.0,biofuel,gas
61768,on,2020,netzero,low,high,high,ref,no,low,0.0,biofuel,gas
61796,on,2020,netzero,high,high,high,ref,no,low,0.0,biofuel,gas
61824,on,2020,netzero,ref,high,ref,ref,yes,low,0.0,biofuel,gas
61852,on,2020,netzero,low,high,ref,ref,yes,low,0.0,biofuel,gas
61880,on,2020,netzero,high,high,ref,ref,yes,low,0.0,biofuel,gas
61908,on,2020,netzero,ref,high,low,ref,yes,low,0.0,biofuel,gas
61936,on,2020,netzero,low,high,low,ref,yes,low,0.0,biofuel,gas
61964,on,2020,netzero,high,ref,low,ref,no,low,0.0,biofuel,gas
61992,on,2020,netzero,high,high,low,ref,yes,low,0.0,biofuel,gas
62020,on,2020,netzero,ref,high,high,ref,yes,low,0.0,biofuel,gas
62048,on,2020,netzero,low,high,high,ref,yes,low,0.0,biofuel,gas
62076,on,2020,netzero,high,high,high,ref,yes,low,0.0,biofuel,gas
62104,on,2020,netzero,ref,ref,ref,low,no,low,0.0,biofuel,gas
62132,on,2020,netzero,low,ref,ref,low,no,low,0.0,biofuel,gas
62160,on,2020,netzero,high,ref,ref,low,no,low,0.0,biofuel,gas
62188,on,2020,netzero,ref,ref,low,low,no,low,0.0,biofuel,gas
62216,on,2020,netzero,low,ref,low,low,no,low,0.0,biofuel,gas
62244,on,2020,netzero,high,ref,low,low,no,low,0.0,biofuel,gas
62272,on,2020,netzero,ref,ref,high,ref,no,low,0.0,biofuel,gas
62300,on,2020,netzero,ref,ref,high,low,no,low,0.0,biofuel,gas
62328,on,2020,netzero,low,ref,high,low,no,low,0.0,biofuel,gas
62356,on,2020,netzero,high,ref,high,low,no,low,0.0,biofuel,gas
62384,on,2020,netzero,ref,ref,ref,low,yes,low,0.0,biofuel,gas
62412,on,2020,netzero,low,ref,ref,low,yes,low,0.0,biofuel,gas
62440,on,2020,netzero,high,ref,ref,low,yes,low,0.0,biofuel,gas
62468,on,2020,netzero,ref,ref,low,low,yes,low,0.0,biofuel,gas
62496,on,2020,netzero,low,ref,low,low,yes,low,0.0,biofuel,gas
62524,on,2020,netzero,high,ref,low,low,yes,low,0.0,biofuel,gas
62552,on,2020,netzero,ref,ref,high,low,yes,low,0.0,biofuel,gas
62580,on,2020,netzero,low,ref,high,ref,no,low,0.0,biofuel,gas
62608,on,2020,netzero,low,ref,high,low,yes,low,0.0,biofuel,gas
62636,on,2020,netzero,high,ref,high,low,yes,low,0.0,biofuel,gas
62664,on,2020,netzero,ref,low,ref,low,no,low,0.0,biofuel,gas
62692,on,2020,netzero,low,low,ref,low,no,low,0.0,biofuel,gas
62720,on,2020,netzero,high,low,ref,low,no,low,0.0,biofuel,gas
