region,period,tech,vintage,cost,units,notes,data_source,dq_cred,dq_geog,dq_struc,dq_tech,dq_time,data_id
NB,2045,T_LDV_LTP_BEV300_N,2025,60.643547060671125,$M 2020CAD / bn passenger-km,Burnham MSRP repair plus maintenance; Mid; CER Current Measures,T06,5,5,5,5,5,transport-cost-variable-passenger-light-trucks-4cdff76f:composite:1:4b88395d3869f164
NB,2045,T_LDV_LTP_BEV300_N,2030,58.77832899766704,$M 2020CAD / bn passenger-km,Burnham MSRP repair plus maintenance; Mid; CER Current Measures,T06,5,5,5,5,5,transport-cost-variable-passenger-light-trucks-4cdff76f:composite:1:4b88395d3869f164
NB,2045,T_LDV_LTP_BEV300_N,2035,49.796319663046624,$M 2020CAD / bn passenger-km,Burnham MSRP repair plus maintenance; Mid; CER Current Measures,T06,5,5,5,5,5,transport-cost-variable-passenger-light-trucks-4cdff76f:composite:1:4b88395d3869f164
NB,2045,T_LDV_LTP_BEV300_N,2040,40.38679272445154,$M 2020CAD / bn passenger-km,Burnham MSRP repair plus maintenance; Mid; CER Current Measures,T06,5,5,5,5,5,transport-cost-variable-passenger-light-trucks-4cdff76f:composite:1:4b88395d3869f164
NB,2045,T_LDV_LTP_BEV300_N,2045,29.63467077293967,$M 2020CAD / bn passenger-km,Burnham MSRP repair plus maintenance; Mid; CER Current Measures,T06,5,5,5,5,5,transport-cost-variable-passenger-light-trucks-4cdff76f:composite:1:4b88395d3869f164
NB,2045,T_LDV_LTP_BEV400_N,2025,66.79033929839477,$M 2020CAD / bn passenger-km,Burnham MSRP repair plus maintenance; Mid; CER Current Measures,T06,5,5,5,5,5,transport-cost-variable-passenger-light-trucks-4cdff76f:composite:1:4b88395d3869f164
NB,2045,T_LDV_LTP_BEV400_N,2030,63.42128050967393,$M 2020CAD / bn passenger-km,Burnham MSRP repair plus maintenance; Mid; CER Current Measures,T06,5,5,5,5,5,transport-cost-variable-passenger-light-trucks-4cdff76f:composite:1:4b88395d3869f164
NB,2045,T_LDV_LTP_BEV400_N,2035,52.49750135751318,$M 2020CAD / bn passenger-km,Burnham MSRP repair plus maintenance; Mid; CER Current Measures,T06,5,5,5,5,5,transport-cost-variable-passenger-light-trucks-4cdff76f:composite:1:4b88395d3869f164
NB,2045,T_LDV_LTP_BEV400_N,2040,41.672952374054155,$M 2020CAD / bn passenger-km,Burnham MSRP repair plus maintenance; Mid; CER Current Measures,T06,5,5,5,5,5,transport-cost-variable-passenger-light-trucks-4cdff76f:composite:1:4b88395d3869f164
NB,2045,T_LDV_LTP_BEV400_N,2045,29.63467077293967,$M 2020CAD / bn passenger-km,Burnham MSRP repair plus maintenance; Mid; CER Current Measures,T06,5,5,5,5,5,transport-cost-variable-passenger-light-trucks-4cdff76f:composite:1:4b88395d3869f164
NB,2045,T_LDV_LTP_CNG_N,2025,93.4864939043198,$M 2020CAD / bn passenger-km,Burnham MSRP repair plus maintenance; Mid; CER Current Measures,T06,5,5,5,5,5,transport-cost-variable-passenger-light-trucks-4cdff76f:composite:1:4b88395d3869f164
NB,2045,T_LDV_LTP_CNG_N,2030,93.50838216419633,$M 2020CAD / bn passenger-km,Burnham MSRP repair plus maintenance; Mid; CER Current Measures,T06,5,5,5,5,5,transport-cost-variable-passenger-light-trucks-4cdff76f:composite:1:4b88395d3869f164
NB,2045,T_LDV_LTP_CNG_N,2035,81.70884244482562,$M 2020CAD / bn passenger-km,Burnham MSRP repair plus maintenance; Mid; CER Current Measures,T06,5,5,5,5,5,transport-cost-variable-passenger-light-trucks-4cdff76f:composite:1:4b88395d3869f164
NB,2045,T_LDV_LTP_CNG_N,2040,66.87610674454066,$M 2020CAD / bn passenger-km,Burnham MSRP repair plus maintenance; Mid; CER Current Measures,T06,5,5,5,5,5,transport-cost-variable-passenger-light-trucks-4cdff76f:composite:1:4b88395d3869f164
NB,2045,T_LDV_LTP_CNG_N,2045,49.067241771588634,$M 2020CAD / bn passenger-km,Burnham MSRP repair plus maintenance; Mid; CER Current Measures,T06,5,5,5,5,5,transport-cost-variable-passenger-light-trucks-4cdff76f:composite:1:4b88395d3869f164
NB,2045,T_LDV_LTP_DSL_N,2025,91.19167913474395,$M 2020CAD / bn passenger-km,Burnham MSRP repair plus maintenance; Mid; CER Current Measures,T06,5,5,5,5,5,transport-cost-variable-passenger-light-trucks-4cdff76f:composite:1:4b88395d3869f164
NB,2045,T_LDV_LTP_DSL_N,2030,91.25184942835035,$M 2020CAD / bn passenger-km,Burnham MSRP repair plus maintenance; Mid; CER Current Measures,T06,5,5,5,5,5,transport-cost-variable-passenger-light-trucks-4cdff76f:composite:1:4b88395d3869f164
NB,2045,T_LDV_LTP_DSL_N,2035,80.03633140037614,$M 2020CAD / bn passenger-km,Burnham MSRP repair plus maintenance; Mid; CER Current Measures,T06,5,5,5,5,5,transport-cost-variable-passenger-light-trucks-4cdff76f:composite:1:4b88395d3869f164
NB,2045,T_LDV_LTP_DSL_N,2040,65.96339274492878,$M 2020CAD / bn passenger-km,Burnham MSRP repair plus maintenance; Mid; CER Current Measures,T06,5,5,5,5,5,transport-cost-variable-passenger-light-trucks-4cdff76f:composite:1:4b88395d3869f164
