tech,vintage,fixed,invest,var,var_upstream,var_total,lifetime,emission_per_activity,upstream_emission_per_activity,cost_per_emission,emission_activity_cost,emission_upstream_cost,emission,capfac,lcoe
E_WND_ON-NEW-9,2040.0,31.838327369976284,1406.2447195794555,0.0,,,30.0,,,,,,0.0,0.49101381956101037,6.689472918814212
E_WND_ON-NEW-9,2045.0,30.674767034977368,1336.0846953350392,0.0,,,30.0,,,,,,0.0,0.49298237439315634,6.357675161384795
E_WND_ON-NEW-10,2025.0,36.018917922796184,1726.747693295776,0.0,,,30.0,,,,,,0.0,0.4700251553499438,8.373386421439104
E_WND_ON-NEW-10,2030.0,33.399388555505325,1555.1455094399664,0.0,,,30.0,,,,,,0.0,0.48754006664858496,7.332767131376156
E_WND_ON-NEW-10,2035.0,32.26774736569261,1484.3048935695492,0.0,,,30.0,,,,,,0.0,0.4895104941696812,6.99581938722049
E_WND_ON-NEW-10,2040.0,31.136106175879885,1413.464277699145,0.0,,,30.0,,,,,,0.0,0.491480921690779,6.6615734004635705
E_WND_ON-NEW-10,2045.0,30.00446498606716,1342.623661828732,0.0,,,30.0,,,,,,0.0,0.4934513492118761,6.329996805500471
E_WND_ON-NEW-11,2025.0,37.48333333333329,1678.0398749027252,0.0,,,30.0,,,,,,0.0,0.44188765902340743,8.83332784096985
E_WND_ON-NEW-11,2030.0,35.1,1533.135981371055,0.0,,,30.0,,,,,,0.0,0.45835406100990705,7.839652530560628
E_WND_ON-NEW-11,2035.0,33.8975,1463.8062428302262,0.0,,,30.0,,,,,,0.0,0.46020653123338817,7.481517459008305
E_WND_ON-NEW-11,2040.0,32.695,1394.476504289411,0.0,,,30.0,,,,,,0.0,0.46205900145686934,7.1262540317869165
E_WND_ON-NEW-11,2045.0,31.4925,1325.146765748584,0.0,,,30.0,,,,,,0.0,0.46391147168035046,6.773827848137137
E_WND_ON-NEW-12,2025.0,36.225767690573576,1677.254650962289,0.0,,,30.0,,,,,,0.0,0.45100068019994866,8.563603653902632
E_WND_ON-NEW-12,2030.0,33.639601189053266,1509.4236205058937,0.0,,,30.0,,,,,,0.0,0.46780666775065266,7.500246954032861
E_WND_ON-NEW-12,2035.0,32.49795113950938,1438.7964171839355,0.0,,,30.0,,,,,,0.0,0.4696973413501062,7.149716106007779
E_WND_ON-NEW-12,2040.0,31.35630108996549,1368.1692138619906,0.0,,,30.0,,,,,,0.0,0.4715880149495609,6.801995929158184
E_WND_ON-NEW-12,2045.0,30.214651040421607,1297.542010540036,0.0,,,30.0,,,,,,0.0,0.47347868854901515,6.457052753150487
E_WND_ON-NEW-13,2025.0,34.79666666666658,1723.3585504345197,0.0,,,30.0,,,,,,0.0,0.4481047426519172,8.684268566041727
E_WND_ON-NEW-13,2030.0,31.98,1529.4730590893248,0.0,,,30.0,,,,,,0.0,0.46480281663947925,7.505281779180464
E_WND_ON-NEW-13,2035.0,30.9075,1457.371413253872,0.0,,,30.0,,,,,,0.0,0.46668134996307864,7.152247648471697
E_WND_ON-NEW-13,2040.0,29.835,1385.2697674184321,0.0,,,30.0,,,,,,0.0,0.4685598832866806,6.802044261079042
