region,tech,vintage,capacity,units,notes,data_source,dq_cred,dq_geog,dq_struc,dq_tech,dq_time,data_id
NB,T_LDV_C_GSL_EX,2020,62.813537214952845,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2020:composite:1:19459e4057ce0243
NB,T_LDV_C_GSL_HEV_EX,2020,0.930956512356443,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2020:composite:1:19459e4057ce0243
NB,T_LDV_C_GSL_PHEV35_EX,2020,0.15685057294271815,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2020:composite:1:19459e4057ce0243
NLLAB,T_LDV_C_BEV150_EX,2020,1.071061331076185,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2020:composite:1:19459e4057ce0243
NLLAB,T_LDV_C_DSL_EX,2020,0.06863080938112233,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2020:composite:1:19459e4057ce0243
NLLAB,T_LDV_C_GSL_EX,2020,31.564599415702848,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2020:composite:1:19459e4057ce0243
NLLAB,T_LDV_C_GSL_HEV_EX,2020,0.9065546644931558,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2020:composite:1:19459e4057ce0243
NLLAB,T_LDV_C_GSL_PHEV35_EX,2020,0.6339878418890317,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2020:composite:1:19459e4057ce0243
NS,T_LDV_C_BEV150_EX,2020,0.25322068413261833,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2020:composite:1:19459e4057ce0243
NS,T_LDV_C_DSL_EX,2020,0.12100658112719964,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2020:composite:1:19459e4057ce0243
